lang,pretrain,finetune data (1000s),perplexity
occitan,english,1,1616.8207
occitan,english,2,1195.2043
occitan,english,5,997.7177
occitan,english,9,891.1365
occitan,english,10,847.8239
occitan,english,25,673.9664
occitan,english,50,533.9685
occitan,english,75,475.7528
occitan,english,100,437.8673
occitan,english,150,386.7277
occitan,english,199,349.5240
frisian,english,1,1131.769
frisian,english,2,746.9080
frisian,english,5,539.3685
frisian,english,9,486.2944
frisian,english,10,482.4650
frisian,english,25,380.8951
frisian,english,50,301.6200
frisian,english,75,260.8996
frisian,english,99,235.7764
yoruba,english,1,797.3646
yoruba,english,2,666.4681
yoruba,english,5,517.5657
yoruba,english,9,446.0568
frisian,english5m,1,61391.1875
frisian,english5m,10,28640.3359
frisian,english5m,2,57536.9258
frisian,english5m,25,6000.8677
frisian,english5m,5,50495.3047
frisian,english5m,50,4544.8848
frisian,english5m,75,5472.6445
frisian,english5m,9,54947.4258
frisian,english5m,99,4206.8003
occitan,english5m,1,55249.9336
occitan,english5m,10,18581.0918
occitan,english5m,100,2407.0762
occitan,english5m,150,2493.0969
occitan,english5m,199,5446.0552
occitan,english5m,2,51384.8359
occitan,english5m,25,14274.5107
occitan,english5m,5,42504.1992
occitan,english5m,50,2415.3545
occitan,english5m,75,2233.3210
occitan,english5m,9,54988.6289
yoruba,english5m,1,28547.4570
yoruba,english5m,2,28529.0039
yoruba,english5m,5,28529.0039
yoruba,english5m,9,13447.0820
frisian,synthetic_frisian,1,10282658
frisian,synthetic_frisian,10,7846603
frisian,synthetic_frisian,2,8865212
frisian,synthetic_frisian,25,10171782.
frisian,synthetic_frisian,5,7837711.
frisian,synthetic_frisian,50,3057.9624
frisian,synthetic_frisian,75,1456.6118
frisian,synthetic_frisian,9,7487252.5000
frisian,synthetic_frisian,99,1586.5793
occitan,synthetic_occitan,1,16369766
occitan,synthetic_occitan,10,57593.1953
occitan,synthetic_occitan,100,18368.3281
occitan,synthetic_occitan,150,31904.3223
occitan,synthetic_occitan,199,588.3798
occitan,synthetic_occitan,2,6734431.5000
occitan,synthetic_occitan,25,262527.2812
occitan,synthetic_occitan,5,22087964
occitan,synthetic_occitan,50,24419.2617
occitan,synthetic_occitan,75,8029.3208
occitan,synthetic_occitan,9,1453324.7500
cebuano,english,1,116.9993
cebuano,english,10,45.3917
cebuano,english,100,28.2616
cebuano,english,150,26.2792
cebuano,english,2,78.6637
cebuano,english,200,25.0024
cebuano,english,25,37.2316
cebuano,english,5,55.0005
cebuano,english,50,32.1470
cebuano,english,75,29.7722
cebuano,english5m,1,17703.1172
cebuano,english5m,10,9443.8955
cebuano,english5m,100,244.4589
cebuano,english5m,150,265.4598
cebuano,english5m,2,17918.4434
cebuano,english5m,200,252.6252
cebuano,english5m,25,12491.8984
cebuano,english5m,5,17440.2461
cebuano,english5m,50,222.0026
cebuano,english5m,75,237.1166
